Progress,duration,RecordedDate,id,consent_1,consent_2,definition,AIMES_4,AIMES_1,AIMES_2,AIMES_8,AIMES_6,AIMES_5,AIMES_7,AIMES_9,AIMES_10,AIMES_11,AIMES_15,AIMES_14,AIMES_17,NEW_1,NEW_2,SPIRIT_10,SPIRIT_12,AIMES_18,AIMES_19,AIMES_20,NEW_3,ATT_1_[3],DISPO_29,DISPO_21,DISPO_22,DISPO_34,DISPO_32,DISPO_37,DISPO_38,DISPO_39,DISPO_16,DISPO_36,DISPO_28,DISPO_26,DISPO_33,NEW_4,NEW_5,DISPO_23,NEW_6,NEW_7,NEW_8,NEW_9,NEW_10,ATT_2_[6],DISPO_8,DISPO_13,DISPO_18,DISPO_19,DISPO_1,DISPO_5,DISPO_6,DISPO_20,DISPO_7,DISPO_2,DISPO_10,DISPO_11,DISPO_12,DISPO_15,NEW_11,NEW_12,ATT_3_[1],cc_worry_self,cc_worry_futuregen,age,sex,gender,gender_6_TEXT,politics_1,politics_2,politics_3,attention,SC0,PROLIFIC_PID,att_score,Submission id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,ethnicity
100,460s (~7.67 minutes),2022-11-08 15:48:14,5e7cc4fcbb2c2c30db10f483,1,NA,"I would say that it is all encompassing of trees, animals, and everything that is outside. I think of the woods with a river and lots of plants.",7,6,6,6,6,6,6,6,6,7,7,6,6,6,7,6,7,7,7,7,7,3,6,7,7,7,6,7,7,7,6,7,7,6,6,7,4,1,7,7,7,1,7,6,5,6,1,4,1,7,1,1,6,4,4,7,5,5,3,2,1,4,4,38,female,woman,NA,3,1,3,1,3,5e7cc4fcbb2c2c30db10f483,3,636ae8edfca1751d52f34db8,APPROVED,2022-11-08T23:40:29Z,2022-11-08T23:48:17Z,2022-11-08T23:48:18Z,2022-11-08T23:48:18Z,469,C1L9K35F,1659,38,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",White
100,308s (~5.13 minutes),2022-11-08 16:01:16,5f16ff89ea30c001ece617bc,1,NA,Nature is the outside world that contains many creatures of all types.,6,4,3,4,5,5,5,2,4,5,4,5,4,4,5,3,5,5,4,6,5,3,5,3,5,4,4,4,6,5,3,4,5,4,7,4,2,5,6,4,5,3,4,6,4,4,5,5,3,3,3,4,3,5,4,4,4,4,5,3,1,3,3,18,male,man,NA,4,4,4,1,3,5f16ff89ea30c001ece617bc,3,636aec9220b5e8308132f7b1,APPROVED,2022-11-08T23:56:04Z,2022-11-09T00:01:18Z,2022-11-09T00:02:26Z,2022-11-09T00:03:05Z,315,C1L9K35F,1381,22,Male,Asian,United States,United States,United States,Vietnamese,Yes,Part-Time,Asian
100,530s (~8.83 minutes),2022-11-08 16:04:15,629789cc812587a45593bccd,1,NA,Outdoors,7,7,7,7,6,4,6,6,5,3,7,7,7,7,7,7,7,7,7,7,7,3,7,4,4,7,6,7,7,7,3,7,7,6,7,7,7,2,7,7,7,2,3,6,3,7,7,7,7,7,6,7,3,7,7,7,7,5,4,2,1,4,4,39,female,woman,NA,6,7,7,1,3,629789cc812587a45593bccd,3,636aec54922e46335fb2e545,APPROVED,2022-11-08T23:55:20Z,2022-11-09T00:04:17Z,2022-11-09T00:04:18Z,2022-11-09T00:04:17Z,538,C1L9K35F,115,39,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,White
100,385s (~6.42 minutes),2022-11-08 16:07:50,5f540c0d1ed01f77d9512fac,1,NA,An outdoor environment that has not been completely changed by technology.,7,6,7,6,7,5,6,3,1,7,6,7,6,7,7,6,7,7,6,7,7,3,7,1,7,6,7,7,7,7,4,7,7,7,7,6,5,2,6,7,7,1,7,6,7,7,6,6,1,4,1,2,7,6,6,3,7,6,5,6,1,3,4,28,male,man,NA,1,1,1,1,3,5f540c0d1ed01f77d9512fac,3,636aedcd0f10c7724e5d6f2f,APPROVED,2022-11-09T00:01:20Z,2022-11-09T00:07:52Z,2022-11-09T00:07:53Z,2022-11-09T00:07:53Z,393,C1L9K35F,596,30,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,White
100,328s (~5.47 minutes),2022-11-08 16:08:12,5e6ecf46f14d2648b814fd81,1,NA,The part of the universe that is without human infestation,7,7,7,7,6,6,6,4,4,2,6,6,7,5,6,7,4,7,7,7,7,3,7,1,7,7,7,6,7,7,6,7,6,7,6,7,7,6,6,6,7,5,6,6,4,5,2,5,3,4,4,6,7,2,2,5,5,5,5,7,1,4,4,38,female,woman,NA,6,5,7,1,3,5e6ecf46f14d2648b814fd81,3,636aee1d5694e6a47c8eb788,APPROVED,2022-11-09T00:02:40Z,2022-11-09T00:08:17Z,2022-11-09T00:08:17Z,2022-11-09T00:08:17Z,337,C1L9K35F,27,38,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,White
100,270s (~4.5 minutes),2022-11-08 16:08:33,610871d42f29bee3bd9f2c88,1,NA,The natural world; things that occur naturally,4,4,3,3,4,4,4,3,6,4,4,4,2,2,1,4,4,6,5,4,4,3,3,2,7,7,7,6,7,7,2,7,4,7,5,7,4,6,7,2,7,1,2,6,2,3,1,5,1,2,1,5,6,4,4,4,1,3,2,4,1,3,4,23,female,woman,NA,3,1,5,1,3,610871d42f29bee3bd9f2c88,3,636aee6defec68d57be6de07,APPROVED,2022-11-09T00:04:00Z,2022-11-09T00:08:37Z,2022-11-09T00:08:37Z,2022-11-09T00:08:37Z,277,C1L9K35F,1301,23,Female,White,United States,United States,United States,English,Yes,Part-Time,White
100,321s (~5.35 minutes),2022-11-08 16:08:49,62fbaa7154448f35639decf0,1,NA,"Nature is the great outdoors. It includes the Earth and all nonliving and living things natural to it (rocks, waterfalls, animals, soil, mountains, etc.)",5,2,4,2,5,5,5,5,4,3,3,4,1,3,1,5,7,7,5,6,2,3,4,7,5,5,2,5,7,7,2,7,2,2,3,7,1,7,6,6,7,1,2,6,2,3,4,3,1,1,1,6,6,6,5,4,4,3,6,3,1,4,4,20,female,woman,NA,7,7,7,1,3,62fbaa7154448f35639decf0,3,636aee48553a9ec659ec9dc5,APPROVED,2022-11-09T00:03:24Z,2022-11-09T00:08:52Z,2022-11-09T00:08:53Z,2022-11-09T00:08:52Z,328,C1L9K35F,49,20,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED,White
100,416s (~6.93 minutes),2022-11-08 16:12:28,5ed40ddff615650a50f1cbb2,1,NA,"I would define nature as the earth, its fauna and flora.",7,7,7,7,6,1,5,5,5,3,7,7,6,6,6,7,6,6,7,7,6,3,7,1,7,7,7,7,7,6,4,4,7,7,7,7,3,3,6,6,5,1,3,6,4,6,5,6,3,5,3,6,5,6,6,6,6,7,4,2,1,3,3,33,male,man,NA,4,4,4,1,3,5ed40ddff615650a50f1cbb2,3,636aeeb9ef7f92044776e223,APPROVED,2022-11-09T00:05:26Z,2022-11-09T00:12:34Z,2022-11-09T00:12:34Z,2022-11-09T00:12:34Z,429,C1L9K35F,859,33,Male,White,United States,United States,United States,English,No,Full-Time,White
100,379s (~6.32 minutes),2022-11-08 16:14:40,5cf8a7e64af157001564498a,1,NA,"Outdoors, ocean and forests",3,2,3,2,2,3,3,5,5,4,3,4,2,1,3,2,4,2,4,1,4,3,4,5,2,5,5,4,7,6,4,7,3,4,4,6,3,1,3,4,4,2,2,6,3,3,4,4,4,2,2,1,4,6,6,6,6,5,2,2,1,3,3,32,female,woman,NA,6,6,6,1,3,5cf8a7e64af157001564498a,3,636aef6959d947f9c40aeca3,APPROVED,2022-11-09T00:08:18Z,2022-11-09T00:14:51Z,2022-11-09T00:14:51Z,2022-11-09T00:14:51Z,394,C1L9K35F,890,32,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Asian
100,548s (~9.13 minutes),2022-11-08 16:16:54,62eae288f7d884522a3d80bf,1,NA,Natural occurrence in life.,3,2,6,4,2,3,4,6,6,2,2,5,2,6,4,3,7,2,6,6,4,3,4,2,1,2,6,6,2,6,1,1,2,3,2,1,3,1,4,2,5,2,3,6,2,3,4,2,1,4,1,4,5,5,4,2,5,2,2,2,1,3,3,29,male,man,NA,4,4,4,1,3,62eae288f7d884522a3d80bf,3,636aef480b5bf49045b70856,APPROVED,2022-11-09T00:07:41Z,2022-11-09T00:16:59Z,2022-11-09T00:17:00Z,2022-11-09T00:17:00Z,559,C1L9K35F,5,29,Male,Other,United States,United States,United States,English,No,DATA_EXPIRED,Other
