Progress,definition,DEEPCTN_s_1,DEEPCTN_s_2,DEEPCTN_s_3,DEEPCTN_s_4,DEEPCTN_s_5,DEEPCTN_s_6,DEEPCTN_ex_1,DEEPCTN_ex_2,DEEPCTN_ex_3,DEEPCTN_s_7,DEEPCTN_s_8,DEEPCTN_s_9,DEEPCTN_ex_4,DEEPCTN_ex_5,DEEPCTN_ex_6,DEEPCTN_ex_7,DEEPCTN_emo_1,DEEPCTN_emo_2,DEEPCTN_emo_3,DEEPCTN_emo_4,DEEPCTN_s_10,DEEPCTN_ex_8,DEEPCTN_m_1,DEEPCTN_m_2,DEEPCTN_m_3,DEEPCTN_m_4,DEEPCTN_m_5,DEEPCTN_m_6,DEEPCTN_em_5,DEEPCTN_em_6,EIDR_1,EIDR_2,EIDR_3,EIDR_4,EIDR_5,EIDR_6,EIDR_7,EIDR_8,EIDR_9,EIDR_10,EIDR_11,EIDR_12,EIDR_13,EIDR_14,att_1[4],CNS_1,CNS_2,CNS_3,CNS_4,CNS_5,CNS_6,CNS_7,CNS_8,CNS_9,CNS_10,CNS_11,CNS_12,CNS_13,CNS_14,att_2[1],PI_me_1,PI_me_2,PI_me_3,PI_me_4,PI_me_5,PI_hierarchy_1,PI_hierarchy_2,PI_hierarchy_3,PI_hierarchy_4,PI_hierarchy_5,PI_interconnect_1,PI_interconnect_2,PI_interconnect_3,PI_interconnect_4,att_3[2],RPEBS_1,RPEBS_2,RPEBS_3,RPEBS_4,RPEBS_5,RPEBS_6,RPEBS_7,RPEBS_8,RPEBS_9,RPEBS_10,RPEBS_11,RPEBS_12,RPEBS_13,RPEBS_14,RPEBS_15,RPEBS_16,RPEBS_17,RPEBS_18,RPEBS_19,RPEBS_20,att_4[4],LOC_1_internal,LOC_2_internal,LOC_3_internal,LOC_4_chance,LOC_5_chance,LOC_6_chance,LOC_7_power,LOC_8_power,LOC_9_power,SES_peers,SES_family,politics_overall,politics_economic,politics_social,nature_child,land_child_cat_1,land_child_cat_2,land_child_cat_3,land_child_cat_4,land_child_cat_5,land_child_cat_6,land_child_cat_7,land_child_cat_8,land_child_cat_8_TEXT,land_child_freq,nature_live_now,land_now_cat_1,land_now_cat_2,land_now_cat_3,land_now_cat_4,land_now_cat_5,land_now_cat_6,land_now_cat_7,land_now_cat_8,land_now_cat_8_TEXT,land_now_freq,age,gender,gender_6_TEXT,ethnoracial,ethnoracial_mixed_1,ethnoracial_mixed_2,ethnoracial_mixed_3,ethnoracial_mixed_4,ethnoracial_mixed_5,ethnoracial_mixed_6,ethnoracial_mixed_7,ethnoracial_mixed_8,country_born,country_growup,move_us,college_year,college_year_9_TEXT,transfer,major,subjective_att,SC0,id,duration,ATT_1,ATT_2,ATT_3,ATT_4,ATT_TOT,subjectATT,EIDR,EIDR_Z,CNS,CNS_Z,PI_me,PI_me_Z,PI_hierarchy,PI_hierarchy_Z,PI_connect,PI_connect_Z,PEB,PEB_Z,LOC,LOC_internal,LOC_chance,LOC_power,LOC_Z,LOC_internal_Z,LOC_chance_Z,LOC_power_Z,DEEPCTN_s_1_Z,DEEPCTN_s_2_Z,DEEPCTN_s_3_Z,DEEPCTN_s_4_Z,DEEPCTN_s_5_Z,DEEPCTN_s_6_Z,DEEPCTN_ex_1_Z,DEEPCTN_ex_2_Z,DEEPCTN_ex_3_Z,DEEPCTN_s_7_Z,DEEPCTN_s_8_Z,DEEPCTN_s_9_Z,DEEPCTN_ex_4_Z,DEEPCTN_ex_5_Z,DEEPCTN_ex_6_Z,DEEPCTN_ex_7_Z,DEEPCTN_emo_1_Z,DEEPCTN_emo_2_Z,DEEPCTN_emo_3_Z,DEEPCTN_emo_4_Z,DEEPCTN_s_10_Z,DEEPCTN_ex_8_Z,DEEPCTN_m_1_Z,DEEPCTN_m_2_Z,DEEPCTN_m_3_Z,DEEPCTN_m_4_Z,DEEPCTN_m_5_Z,DEEPCTN_m_6_Z,DEEPCTN_em_5_Z,DEEPCTN_em_6_Z,politics_overall_Z,politics_economic_z,politics_social_z,SES_family_z,SES_peers_z
100,"anything that was not created by humans, that was here with or without our intervention. This includes plants, animals, and the environment.",5,5,3,6,5,4,6,5,5,2,4,3,3,5,5,5,7,5,3,6,3,6,3,6,4,2,4,4,5,1,7,5,5,6,1,5,7,7,6,5,7,4,6,7,4,3,4,6,3,2,2,2,3,2,6,4,2,5,5,1,3,4,4,2,2,4,1,3,5,4,6,6,5,6,2,4,2,3,3,2,2,2,4,3,1,4,1,3,4,3,3,2,5,2,3,4,5,5,4,7,6,5,6,5,5,5,5,5,6,7,2,1,1,NA,NA,NA,1,1,NA,NA,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,4,21,Woman,NA,White,NA,NA,NA,NA,NA,NA,NA,NA,188,188,NA,3,NA,1,78,1,4,46078,690s (~11.5 minutes),1,1,1,1,4,1,5.571428571428571,0.3536603890037827,3.5,-1.142664432999994,3,-0.678551151491136,3.4,-0.10044685908905171,5.75,1.628384910650092,2.8,-0.5897064136723702,5.333333333333333,4.666666666666667,6,5.333333333333333,1.0969916092339156,0.01562608293807893,1.4580889724670214,0.7262351908002026,0.5635185204325958,0.23615218031594354,-0.31351774441316094,0.6962331141970876,-0.21074837387126055,-0.10481883515577826,0.685911673615193,0.605022939324305,0.4653222370888339,-0.996591185923827,-0.1575931452197179,-0.5742118770873856,-0.8258893108086636,0.2685650363234085,0.242649374138766,-0.28218514154897645,1.1361070298623126,0.13503080284807,-0.41423816377903533,1.5708077622945802,-0.34044349586665884,1.197294218846417,-0.8397818537405826,1.0841340930158192,-0.3998577496447905,-1.1676513481941735,0.0776627350883952,0.09675989995102348,-0.2050608718392939,-1.2146914180376043,-0.03247667770201349,0.8823284361749675,0.9813090668580666,-0.7546898177582952,-0.7397640393131008
100,our environment,5,7,4,7,7,5,6,4,7,7,7,5,7,7,4,7,7,5,5,4,7,3,7,5,7,7,4,4,7,4,7,7,7,7,6,7,7,7,7,7,7,7,2,7,4,7,7,7,7,7,7,7,7,7,7,7,6,7,7,1,4,5,5,2,4,2,2,1,1,2,6,5,6,6,2,4,4,2,4,3,5,3,4,4,2,4,4,4,5,5,5,4,4,5,5,4,7,5,5,7,6,6,3,7,7,8,8,7,7,7,2,NA,1,NA,1,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,6,21,Woman,NA,Mixed,NA,NA,NA,NA,NA,NA,NA,1,188,188,NA,4,NA,1,78,1,4,42804,639s (~10.65 minutes),1,1,1,1,4,1,6.571428571428571,1.3592438893635574,6.928571428571429,2.6472304888528724,4,0.44906065483672675,1.6,-2.183361795199182,5.75,1.628384910650092,4,2.3986262733212387,5.888888888888889,5.666666666666667,6.333333333333333,5.666666666666667,1.8278906689227894,1.0813249393150628,1.7538702571851974,1.013194866423458,0.5635185204325958,1.4203859080767791,0.21054868129707385,1.316116905166296,1.107879066314059,0.41319888641118435,0.685911673615193,0.025492539578271255,1.6277755912814516,1.7048205342671505,1.5394361975147195,0.45634733389576443,1.550720435906563,1.420523242440168,-0.31642790005933724,1.1540108773793976,1.1361070298623126,0.13503080284807,0.6320967536183796,0.5397289423861069,2.004833920103658,-0.4401816981053005,1.628887216307165,0.5136252570306428,1.3188585439964722,1.7730363160171496,0.0776627350883952,0.09675989995102348,0.9507367694367272,0.287883334867437,1.6712997986651574,1.6699566998808941,0.9813090668580666,0.9880814769747436,1.3214415168003883
100,"When I think of the word nature, I think of human nature, like natural human behavior, thoughts, feelings and attitudes",6,7,7,7,7,6,7,4,5,6,7,4,7,4,5,7,4,4,4,7,7,6,6,6,5,5,6,5,7,5,6,6,6,6,5,6,7,6,6,6,6,5,7,5,4,6,5,6,6,5,5,4,6,4,6,5,4,5,4,1,4,5,5,5,4,3,3,2,5,3,6,3,4,6,2,4,5,3,4,5,5,4,4,5,5,4,2,5,4,4,4,4,4,4,5,4,5,5,3,6,6,4,6,6,4,6,8,6,6,5,2,1,1,NA,1,NA,1,1,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,20,Woman,NA,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,188,188,NA,3,NA,1,78,1,4,48122,625s (~10.42 minutes),1,1,1,1,4,1,5.928571428571429,0.7127973534179884,5.071428571428571,0.5943707395159027,4.6,1.125627738633444,3.2,-0.33188185199017706,4.75,0.4980454612217328,4.2,2.8966817211535067,5,4.333333333333333,5.333333333333333,5.333333333333333,0.6584521734205923,-0.339606869187583,0.8665264030306687,0.7262351908002026,1.1205034928022048,1.4203859080767791,1.7827479584277783,1.316116905166296,1.107879066314059,0.931216607978147,1.3284827744470085,0.025492539578271255,0.4653222370888339,1.164538190228955,1.5394361975147195,-0.05893227159581058,1.550720435906563,-0.30741406673497124,0.242649374138766,1.1540108773793976,-0.8205217437894478,-0.4264997309469533,0.10892929491967214,2.086347172248817,2.004833920103658,1.197294218846417,1.0117199487952282,1.0841340930158192,0.17304768156896372,0.5967612503326204,1.2290971987902557,0.6376636029559257,0.9507367694367272,0.7887415858357841,0.8194115604815719,0.8823284361749675,-0.38173122560059247,0.9880814769747436,-0.05269552060860442
100,relating to the 'natural' or physical external environment,3,5,2,6,7,5,7,6,5,4,2,3,5,5,4,6,5,4,6,5,4,6,5,1,5,3,5,1,2,1,7,5,7,7,4,6,7,7,7,7,7,4,6,6,4,5,6,5,3,5,2,5,3,4,5,5,4,5,4,1,4,4,5,3,4,4,4,4,2,4,6,5,4,5,2,4,4,4,2,3,1,1,4,4,2,4,2,4,3,5,5,3,5,2,3,4,5,5,4,3,4,4,3,4,5,7,7,6,6,6,2,NA,NA,NA,NA,NA,NA,1,NA,NA,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,Woman,NA,Asian,NA,NA,NA,NA,NA,NA,NA,NA,188,188,NA,1,NA,2,95,1,4,48654,2046s (~34.1 minutes),1,1,1,1,4,1,6.214285714285714,1.0001069249493526,4.357142857142857,-0.19519070253677787,4,0.44906065483672675,3.6,0.13098813381207414,5,0.7806303235788227,3.25,0.5309183439502333,4.111111111111111,4.666666666666667,3.6666666666666665,4,-0.5109863220816049,0.01562608293807893,-0.6123800205602122,-0.42160351169281707,-0.5504514243066225,0.23615218031594354,-0.8375841701233957,0.6962331141970876,1.107879066314059,0.41319888641118435,1.3284827744470085,1.1845533390703387,0.4653222370888339,0.08397350215256404,-1.2889460403760096,-0.5742118770873856,0.3624155625489497,0.2685650363234085,-0.31642790005933724,0.43591286791521056,-0.1683121525721943,-0.4264997309469533,1.155264212317087,1.0552683523403434,0.24587585812592033,1.197294218846417,0.39455268128329124,-1.7684100869100632,0.17304768156896372,-0.5795138153519088,0.6533799669393254,-1.5259512090636833,-1.9387573337533255,-1.2146914180376043,0.8194115604815719,0.8823284361749675,0.2997889206287371,0.40715771206373064,0.6343729980958919
100,the ecosystem around us,6,4,7,7,4,4,7,7,7,4,4,4,7,6,7,7,7,4,5,1,7,7,4,4,7,7,7,4,4,1,7,7,7,7,4,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,4,7,7,7,1,7,7,1,3,2,5,3,4,3,1,2,1,1,6,6,6,6,2,3,1,2,2,3,2,1,2,3,1,2,4,4,3,5,5,2,5,1,3,4,6,3,5,5,2,4,2,3,1,5,4,7,7,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,23,Woman,NA,Mixed,1,1,NA,NA,NA,NA,NA,NA,188,188,NA,5,NA,1,2,1,4,42150,591s (~9.85 minutes),1,1,1,1,4,1,6.785714285714286,1.5747260680120807,6.357142857142857,2.0155813352107272,3.4,-0.22750642895999096,1.6,-2.183361795199182,6,1.9109697730071817,2.7,-0.8387341375885033,3.4444444444444446,4.666666666666667,3.6666666666666665,2,-1.3880651937082515,0.01562608293807893,-0.6123800205602122,-2.143361565432347,1.1205034928022048,-0.35596468356447425,1.7827479584277783,1.316116905166296,-0.8700620939639203,-0.10481883515577826,1.3284827744470085,1.7640837388163724,1.6277755912814516,0.08397350215256404,-0.1575931452197179,-0.05893227159581058,1.550720435906563,0.8445441393817883,1.3608039225349724,1.1540108773793976,1.1361070298623126,-0.4264997309469533,0.6320967536183796,-1.006889287476603,2.004833920103658,1.7431195244969895,-0.22261458622864566,-0.05688357895453367,1.3188585439964722,1.7730363160171496,1.804814430641186,0.09675989995102348,-0.7829596924773045,-1.2146914180376043,1.6712997986651574,1.6699566998808941,0.9813090668580666,-1.335613582669308,-0.7397640393131008
100,That is something born in the environment or shows up as how it is. It's not made of by materials or labor force.,6,7,6,7,6,7,6,6,6,6,7,7,7,6,6,6,7,7,6,6,7,3,3,7,5,6,5,5,7,5,6,7,6,7,6,7,7,7,7,7,7,7,7,7,4,5,5,5,6,5,7,6,5,6,5,5,5,3,6,1,6,6,5,6,6,6,6,6,6,1,6,5,6,6,2,4,5,3,3,3,3,3,3,5,3,5,3,5,1,2,5,3,5,1,5,4,7,7,7,7,7,7,6,6,6,8,4,7,7,7,1,NA,NA,NA,NA,NA,NA,NA,1,cities,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,7,27,Woman,NA,Asian,NA,NA,NA,NA,NA,NA,NA,NA,193,193,22,4,NA,1,77,1,4,40777,1604s (~26.73 minutes),1,1,1,1,4,1,6.785714285714286,1.5747260680120807,5.285714285714286,0.831239172131707,5.8,2.4787619062268793,5,1.7510330841199535,5.75,1.628384910650092,3.5,1.1534876537405685,6.666666666666667,7,7,6,2.8511493524872114,2.502256747817708,2.34543282662155,1.3001545420467129,1.1205034928022048,1.4203859080767791,1.2586815327175433,1.316116905166296,0.4485653462213992,1.4492343295451096,0.685911673615193,1.1845533390703387,1.0465489141851427,1.164538190228955,1.5394361975147195,1.4869065448789145,1.550720435906563,0.8445441393817883,0.8017266483368692,0.43591286791521056,1.1361070298623126,1.2580918704381165,1.155264212317087,1.5708077622945802,2.004833920103658,-0.4401816981053005,-0.8397818537405826,1.6546429290009959,0.17304768156896372,1.184898783174885,0.6533799669393254,0.6376636029559257,0.9507367694367272,0.7887415858357841,1.6712997986651574,1.6699566998808941,0.9813090668580666,-1.335613582669308,1.3214415168003883
100,"the outside environment that exist all throughout the world, and all of the things that make up it.",5,5,3,5,5,5,4,3,5,4,7,6,4,6,5,7,6,7,5,3,7,5,7,6,7,6,6,6,7,7,5,7,7,7,5,7,7,7,7,6,7,4,6,7,4,5,5,6,7,4,7,5,4,4,5,5,2,6,6,1,3,4,3,3,3,4,4,2,3,2,5,5,3,5,2,4,4,3,5,1,4,3,5,4,1,5,5,5,5,5,5,2,5,3,3,4,4,5,2,3,4,5,3,6,5,7,6,5,5,7,2,NA,1,NA,NA,1,NA,NA,NA,NA,7,1,1,1,NA,NA,NA,1,1,NA,NA,1,19,Woman,NA,Mixed,1,1,NA,NA,NA,NA,NA,NA,188,188,NA,2,NA,2,78,1,4,43410,926s (~15.43 minutes),1,1,1,1,4,1,6.357142857142857,1.1437617107150342,5.071428571428571,0.5943707395159027,3.2,-0.4530287902255632,3,-0.5633168448913028,4.5,0.21546059886464305,3.85,2.0250846874470376,4.111111111111111,3.6666666666666665,4,4.666666666666667,-0.5109863220816049,-1.0500727734389055,-0.31659873584203585,0.15231583955369316,0.5635185204325958,0.23615218031594354,-0.31351774441316094,0.07634932322787899,-0.21074837387126055,0.41319888641118435,-0.5992305280484379,-0.5540378601677625,0.4653222370888339,0.08397350215256404,1.5394361975147195,0.9716269393873395,-0.2317368741298569,0.8445441393817883,0.242649374138766,1.1540108773793976,0.4838974386450592,1.2580918704381165,0.6320967536183796,0.024189532431870317,2.004833920103658,0.6514689131958445,1.628887216307165,1.0841340930158192,1.3188585439964722,1.184898783174885,1.2290971987902557,1.178567305960828,0.9507367694367272,1.7904580877724783,-0.03247667770201349,0.09470017246904094,0.9813090668580666,-0.1737660528472823,0.6343729980958919
100,"plants/organisms that are naturally grown from the earth, untouched by human influence. animals that live from the earth/other animals are considered nature as well in my eyes",6,5,4,6,7,6,6,7,5,4,2,4,6,5,4,7,6,5,4,1,4,4,5,7,7,5,4,4,7,2,7,5,5,7,1,5,7,7,7,7,7,4,7,7,4,7,7,7,7,7,5,7,6,7,7,7,7,4,4,1,3,3,3,3,3,6,5,4,4,5,6,4,5,5,2,4,4,2,5,3,1,2,4,4,3,5,1,4,4,5,5,2,5,1,2,4,5,5,5,4,3,5,3,3,3,8,6,5,5,5,3,1,1,NA,NA,1,NA,1,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,1,parks,1,20,Woman,NA,Hispanic,NA,NA,NA,NA,NA,NA,NA,NA,188,123,NA,2,NA,2,11,1,4,41176,692s (~11.53 minutes),1,1,1,1,4,1,5.928571428571429,0.7127973534179884,6.357142857142857,2.0155813352107272,3,-0.678551151491136,4.8,1.5195980912188276,5,0.7806303235788227,3.3,0.6554322059082999,4,5,4,3,-0.657166134019379,0.3708590350637399,-0.31659873584203585,-1.282482538562582,1.1205034928022048,0.23615218031594354,0.21054868129707385,0.6962331141970876,1.107879066314059,0.931216607978147,0.685911673615193,1.7640837388163724,0.4653222370888339,0.08397350215256404,-1.2889460403760096,-0.05893227159581058,0.9565679992277564,0.2685650363234085,-0.31642790005933724,1.1540108773793976,0.4838974386450592,0.13503080284807,0.10892929491967214,-1.006889287476603,0.24587585812592033,0.105643607545272,0.39455268128329124,1.6546429290009959,1.3188585439964722,0.5967612503326204,0.0776627350883952,0.09675989995102348,0.9507367694367272,-0.7138331670692571,-0.03247667770201349,0.09470017246904094,-0.38173122560059247,-0.1737660528472823,1.3214415168003883
100,"A place where there are many plants, animal, and color.",4,4,4,5,4,4,5,4,5,4,4,5,5,4,4,5,5,5,4,4,4,5,5,5,4,5,4,5,4,4,6,5,6,6,6,6,6,6,7,7,7,6,7,7,4,5,4,5,5,4,5,5,4,5,4,3,5,4,4,1,4,4,3,4,4,4,4,3,3,4,3,4,4,4,2,4,4,3,4,4,2,1,4,3,4,4,4,3,3,4,4,3,4,3,3,4,4,5,5,3,4,4,4,3,4,7,6,4,4,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,2,21,Woman,NA,Asian,NA,NA,NA,NA,NA,NA,NA,NA,123,188,6,3,NA,2,78,1,4,36551,512s (~8.53 minutes),1,1,1,1,4,1,6.285714285714286,1.0719343178321934,4.428571428571429,-0.11623455833150914,3.8,0.223538293571154,3.6,0.13098813381207414,3.75,-0.6322939882066263,3.4,0.9044599298244341,4,4.666666666666667,3.6666666666666665,3.6666666666666665,-0.657166134019379,0.01562608293807893,-0.6123800205602122,-0.7085631873160722,0.006533548062986611,-0.35596468356447425,0.21054868129707385,0.07634932322787899,-0.8700620939639203,-0.10481883515577826,0.043340572783377544,0.025492539578271255,0.4653222370888339,0.08397350215256404,-0.1575931452197179,0.45634733389576443,0.3624155625489497,-0.30741406673497124,-0.31642790005933724,-0.28218514154897645,-0.1683121525721943,0.13503080284807,0.10892929491967214,0.5397289423861069,0.24587585812592033,0.6514689131958445,0.39455268128329124,0.5136252570306428,-0.3998577496447905,0.5967612503326204,0.0776627350883952,0.6376636029559257,-0.7829596924773045,0.287883334867437,-0.884364915885599,-0.6929280912368856,-1.0632513718299221,-0.1737660528472823,0.6343729980958919
100,The Earth,1,1,1,3,3,1,2,1,1,3,1,1,2,3,2,5,3,2,6,1,2,2,6,5,2,3,2,4,7,1,3,3,6,5,2,3,6,6,3,4,6,4,5,6,4,2,4,3,6,1,2,1,5,2,1,4,4,1,7,1,4,4,5,2,5,4,2,5,2,2,4,5,4,5,2,5,5,2,2,1,2,1,3,3,1,2,5,3,1,3,4,2,5,3,2,4,6,6,2,5,6,2,7,6,6,6,6,5,5,6,2,NA,1,1,NA,NA,1,1,NA,NA,5,2,1,1,NA,1,NA,NA,NA,NA,NA,4,22,Woman,NA,Asian,NA,NA,NA,NA,NA,NA,NA,NA,188,188,NA,4,NA,2,78,1,4,33223,1504s (~25.07 minutes),1,1,1,1,4,1,4.428571428571429,-0.7955778971216736,3.0714285714285716,-1.616401298231602,4,0.44906065483672675,3,-0.5633168448913028,4.5,0.21546059886464305,2.75,-0.7142202756304368,5.111111111111111,4.666666666666667,4.333333333333333,6.333333333333333,0.8046319853583663,0.01562608293807893,-0.020817451123859892,1.5871142176699675,-1.6644213690458407,-2.1323152752057277,-1.3616505958336305,-1.1634182587105382,-1.52937581405658,-1.6588719998566661,-1.884372729712069,-1.7130986596598299,-1.8595844712964016,-0.4563088418856315,-1.8546224879541555,-1.6047710880705357,-1.4200417474874703,-0.883393169793351,-1.4345824484555438,-0.28218514154897645,-1.4727313350067013,-1.549560798537,1.155264212317087,-1.006889287476603,-0.926762849859238,-0.986007003755873,1.0117199487952282,0.5136252570306428,-1.5456686120722989,-0.5795138153519088,-1.0737717286134651,0.09675989995102348,0.9507367694367272,-1.2146914180376043,-0.03247667770201349,0.09470017246904094,0.2997889206287371,-0.1737660528472823,-0.05269552060860442
