Original Item,Reworded,Notes,Original Scale
I feel uneasy if I am away from nature for too long,,,AIMES
I feel right at home when I am in nature,,,AIMES
I feel a sense of emotional connection to nature,,,AIMES
I think of myself as an ‘environmentalist’,,,AIMES
I think of myself as someone who is very concerned about taking care of nature,,,AIMES
Protecting nature is an important part of who I am,,,AIMES
My relationship to nature is a big part of how I think about myself,,,AIMES
I like to get outdoors whenever I get the chance,,,AIMES
Being in nature allows me to do the things I like doing most,,,AIMES
My connection to nature is something I would describe as “spiritual”,,,AIMES
Human wellbeing depends upon living in harmony with nature,,,AIMES
Human beings and nature are connected by the same ‘energy’ or ‘life-force’,,,AIMES
"I mimic animal behaviour; for example, the way a vulture walks 
",When encountering an animal I  mimic their facial expressions or behaviour,,Disposition to CTN
I get up early to watch the sunrise,"When possible, I take time to watch the sunrise or the sunset without distractions",,Disposition to CTN
I cross meadows barefoot ,"When I am outside on grass, sand, or soil, I often take off my shoes to feel the ground on my feet",,Disposition to CTN
I talk to plants,,,Disposition to CTN
 I help snails cross the street,I am careful to not step on snails ,,Disposition to CTN
I watch TV shows that have animals as the main characters ,I watch TV shows where the focus is on animals or plants ,,Disposition to CTN
I take time to watch the clouds pass by,,,Disposition to CTN
I take time to consciously smell flowers,,,Disposition to CTN
I consciously watch or listen to birds,,,Disposition to CTN
I spend time in a park,I spend time in local parks,,Disposition to CTN
I deliberately take time to watch stars at night,,,Disposition to CTN
Even when it is very cold or rainy I go out for a walk,,,Disposition to CTN
I hike or run in nearby nature reserves or forests,I hike or run in nearby nature,,Disposition to CTN
I talk to animals,"I often talk to the wild animals I encounter (e.g., birds, lizards, rabbits, squirrels)",,Disposition to CTN
Indoor plants are part of the family,,,Disposition to CTN
Carving a tree feels like cutting myself,Thinking of someone carving a tree makes me feel physical pain,,Disposition to CTN
"If one of my plants dies, I reproach myself","If one of my plants died, I would blame myself ",,Disposition to CTN
"If there is an insect, such as a fly, in my home, I try to catch and release it rather than kill it ",,,Disposition to CTN
I prefer living in a city,,,Disposition to CTN
My favorite place is in nature,,,Disposition to CTN
Walking through a forest makes me forget about my daily worries,,,Disposition to CTN
The noise of crickets gets on my nerves,,,Disposition to CTN
