Progress,duration,RecordedDate,student_id,definition,AIMES_4,AIMES_1,AIMES_2,AIMES_8,AIMES_6,AIMES_5,AIMES_7,AIMES_9,AIMES_10,AIMES_11,AIMES_15,AIMES_14,AIMES_17,NEW_1,NEW_2,SPIRIT_10,SPIRIT_12,AIMES_18,AIMES_19,AIMES_20,NEW_3,ATT_1_[3],DISPO_29,DISPO_21,DISPO_22,DISPO_34,DISPO_32,DISPO_37,DISPO_38,DISPO_39,DISPO_16,DISPO_36,DISPO_28,DISPO_26,DISPO_33,NEW_4,NEW_5,DISPO_23,NEW_6,NEW_7,NEW_8,NEW_9,NEW_10,ATT_2_[6],DISPO_8,DISPO_13,DISPO_18,DISPO_19,DISPO_1,DISPO_5,DISPO_6,DISPO_20,DISPO_7,DISPO_2,DISPO_10,DISPO_11,DISPO_12,DISPO_15,NEW_11,NEW_12,ATT_3_[1],nature_child,open_nature_child,land_child_cat_1,land_child_cat_2,land_child_cat_3,land_child_cat_4,land_child_cat_5,land_child_cat_6,land_child_cat_7,land_child_cat_8,land_child_cat_8_TEXT,land_child_freq,nature_live_now,open_nature_now,land_now_cat_1,land_now_cat_2,land_now_cat_3,land_now_cat_4,land_now_cat_5,land_now_cat_6,land_now_cat_7,land_now_cat_8,land_now_cat_8_TEXT,land_now_freq,age,gender,gender_6_TEXT,sex,ethnoracial,ethnomixed_1,ethnomixed_2,ethnomixed_3,ethnomixed_4,ethnomixed_5,ethnomixed_6,ethnomixed_7,ethnomixed_8,ethnoasian_1,ethnoasian_2,ethnoasian_3,ethnoasian_4,ethnoasian_5,ethnoasian_6,ethnoasian_7,ethnoasian_8,ethnoasian_9,ethnoasian_10,ethnoasian_11,ethnoasian_12,ethnoasian_13,ethnoasian_14,ethnoasian_15,ethnoasian_16,ethnoasian_17,ethnoasian_18,ethnoasian_19,ethnoasian_20,ethnoasian_21,ethnoasian_22,ethnoasian_23,ethnoasian_24,ethnoasian_25,ethnoasian_26,ethnoasian_27,ethnoasian_28,ethnoasian_29,ethnoasian_30,ethnoasian_31,ethnoasian_32,ethnoasian_33,ethnoasian_34,ethnoasian_35,ethnoasian_36,ethnoPI_1,ethnoPI_2,ethnoPI_3,ethnoPI_4,ethnoPI_5,ethnoPI_6,ethnoPI_7,ethnoPI_8,ethnoPI_9,ethnoPI_10,ethnoPI_11,ethnoPI_12,ethnoPI_13,ethnoPI_14,ethnoPI_15,ethnoPI_16,ethnoPI_17,ethnoPI_17_TEXT,countryborn,countrygrow,countrylive,agemoveUS,state,zip,college year,college year_9_TEXT,major,SESpeer,SESfamily,familywealth,politics_1,politics_2,politics_3,subjectATT,hearstudy,SC0,id,lab,round2,ATT_1,ATT_2,ATT_3,att_total,att_pc
100,776s (~12.93 minutes),2023-02-20 10:27:39,503,"nature is the way of the natural world. It is the cycle of life and death, its the transfer of energy through living and non-living things. ecosystems, biology, evolution, etc.",7,6,6,5,6,3,4,7,6,1,5,5,7,7,7,7,4,7,7,7,6,3,5,3,6,7,7,7,7,6,5,7,6,5,6,6,5,3,5,6,6,4,5,6,5,4,2,5,3,6,4,5,7,3,4,4,3,2,4,3,1,2,"in miami - beaches, more city, lots of trees, swamps, everglades. in ecuador - mountains, rivers, valleys, huge diversity of plants and animals, rainforest, farmlands, small towns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"beaches, lots of city and roads, tall buildings, some state reserves, mountains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,man,NA,male,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,NA,6,92122,4,NA,78,4,6,10,5,4,6,1,2,3,34362,dobkins,NA,1,1,1,3,1
100,956s (~15.93 minutes),2023-02-20 10:50:14,5219,I would define nature as the outdoors and the environment around me.,6,6,6,4,7,5,5,6,5,2,6,6,3,4,4,6,6,7,6,6,7,3,4,6,7,5,4,6,7,7,7,7,6,5,7,7,7,5,5,3,7,5,2,6,3,6,6,7,2,3,5,3,7,7,5,5,4,5,3,3,1,2,Mountains and trees.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Beaches and some trees, very hilly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,woman,NA,female,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,NA,6,92122,2,NA,78,8,8,12,6,6,6,1,2,3,47633,barner,NA,1,1,1,3,1
100,980s (~16.33 minutes),2023-02-20 10:52:05,NA,anything not considered a human being,3,2,3,4,2,2,2,3,3,5,5,5,3,2,4,4,5,6,4,5,3,3,3,4,3,5,5,5,6,7,3,7,4,3,7,5,4,5,4,2,5,1,2,6,3,5,5,3,3,3,2,4,6,5,4,3,4,3,2,2,1,2,beaches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,beaches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,man,NA,male,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,NA,6,92122,4,NA,78,7,7,7,4,4,4,1,2,3,43655,barner,NA,1,1,1,3,1
100,796s (~13.27 minutes),2023-02-20 11:33:18,143,"The natural, biological world around us",2,3,4,3,4,3,5,4,3,6,5,7,2,3,2,5,7,5,5,6,6,3,1,4,5,6,4,5,7,7,2,7,5,4,7,7,2,4,5,5,7,1,5,6,2,4,1,5,1,2,1,1,5,4,2,3,1,1,5,2,1,2,"beaches, mountains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"beaches, mountains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,woman,NA,female,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,2,6,92092,2,NA,15,8,9,12,5,4,7,2,2,3,45849,barner,NA,1,1,1,3,1
100,2164s (~36.07 minutes),2023-02-20 11:45:59,6067,"An untouched place or thing that is made of earth, air, sun or soil. It comes to be on its own and grows with the sun, wind. No man made interceptions",6,2,5,2,4,3,5,5,5,7,5,6,3,7,6,3,7,7,7,7,6,3,3,2,7,4,6,7,7,7,3,7,4,3,6,1,2,1,6,2,4,1,7,6,1,2,1,6,3,4,1,3,5,6,2,1,1,5,2,3,1,1,"Beaches, little mountains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Same, beaches and little mountains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,woman,NA,female,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,8,6,92114,3,NA,41,3,2,6,5,3,6,1,2,3,44427,dobkins,NA,1,1,1,3,1
100,1092s (~18.2 minutes),2023-02-20 12:13:31,NA,Things outside of human constructions,3,3,2,3,4,3,4,7,6,1,2,2,1,6,5,3,6,7,5,5,5,3,2,2,5,6,1,6,4,7,4,5,2,6,4,2,1,4,5,4,5,1,3,6,1,4,1,5,3,1,1,4,7,5,1,2,2,1,1,3,1,2,Some forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Very limited nature,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,man,NA,male,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,101,189,NA,6,92122,4,NA,10,6,8,13,6,6,6,1,2,3,42133,dobkins,NA,1,1,1,3,1
100,623s (~10.38 minutes),2023-02-20 12:41:35,1161,"The outdoors, seeing green, lush, vegetation. Natural formations as well, basically anything that naturally occurs.",4,1,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,6,3,1,4,5,5,4,6,7,7,1,7,4,6,7,4,1,1,7,6,7,1,6,6,1,4,4,6,2,4,1,4,7,4,6,2,6,6,4,6,1,2,Beaches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,beaches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,man,NA,male,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,1,6,92092,1,NA,15,8,8,12,4,4,6,1,2,3,47655,dobkins,NA,1,1,1,3,1
100,1494s (~24.9 minutes),2023-02-20 13:07:16,9649,The system of alive or unalive things that has not been essentially modified by mankind.,7,6,7,6,2,1,4,7,1,7,7,6,7,1,1,3,7,7,5,7,2,3,7,5,7,7,7,7,7,7,4,7,5,3,7,2,1,4,5,1,6,1,1,6,1,4,1,1,1,6,1,1,7,7,1,1,4,5,1,4,1,1,"Buildings, buildings, and more buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,I live in San Diego. A mix of city with nature. I love it.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,man,NA,male,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,189,NA,6,92130,2,NA,37,9,9,12,4,7,1,1,2,3,47657,dobkins,NA,1,1,1,3,1
100,345s (~5.75 minutes),2023-02-20 13:17:17,5208,all living things,5,4,7,4,7,4,5,1,4,5,6,5,4,5,7,5,6,5,7,7,7,3,4,4,7,5,4,5,7,7,5,7,7,1,7,7,7,1,7,7,4,7,7,6,4,6,4,7,3,4,2,6,7,4,4,4,3,4,7,2,1,2,beaches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,beaches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,woman,NA,female,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,2,6,91910,4,NA,NA,10,10,6,4,4,4,1,2,3,41184,barner,NA,1,1,1,3,1
100,1288s (~21.47 minutes),2023-02-20 13:24:58,6335,I would define nature as elements and environments of the earth untouched by humans or society.,6,6,7,5,5,5,4,6,6,2,6,7,6,7,5,2,7,7,7,7,2,3,6,3,7,5,6,6,7,7,7,7,5,7,6,7,6,1,7,6,6,1,3,6,4,5,1,1,2,1,1,1,7,5,4,6,1,2,5,1,1,2,In the area I grew up in there was a lot of farmland until recently when it started getting developed.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"I live in a more urban area now, however it’s right near the ocean. My building looks right over the ocean and has a beautiful view from my room every morning and night.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,woman,NA,female,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,189,189,NA,6,92092-0100,1,NA,77,5,6,10,5,5,6,1,2,3,45496,dobkins,NA,1,1,1,3,1
