Progress,duration,RecordedDate,consent_1,id,definition,AIMES_4,AIMES_1,AIMES_8,AIMES_6,AIMES_5,AIMES_9,AIMES_10,AIMES_11,AIMES_17,NEW_1,NEW_2,SPIRIT_10,SPIRIT_12,AIMES_18,AIMES_19,AIMES_20,NEW_8,ATT_1_[3],DISPO_29,DISPO_21,DISPO_22,DISPO_34,DISPO_37,DISPO_16,DISPO_28,DISPO_33,NEW_5,DISPO_23,NEW_6,NEW_7,NEW_10,ATT_2_[6],DISPO_8,DISPO_13,DISPO_19,DISPO_1,DISPO_20,DISPO_7,DISPO_2,DISPO_10,DISPO_11,DISPO_12,DISPO_15,NEW_11,NEW_12,ATT_3_[1],cc_worry_self,cc_worry_futuregen,age,sex,gender,gender_6_TEXT,politics_1,politics_2,politics_3,attention,SC0,PROLIFIC_PID,att_score,Submission id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
100,284s (~4.73 minutes),2023-04-13 09:35:13,1,63616d2cd66936323884f30b,"Outdoors, trees, plants, animals etc",4,5,5,5,4,5,4,7,5,7,6,6,4,6,7,6,7,3,6,7,7,6,7,6,4,5,6,7,6,4,4,6,5,4,5,6,6,6,3,4,5,4,4,5,3,1,4,4,34,female,trans man,NA,7,7,7,1,3,63616d2cd66936323884f30b,3,64382e1c333b0fe3cfd7ed54,APPROVED,2023-04-13T16:30:24Z,2023-04-13T16:35:16Z,2023-04-13T16:35:19Z,2023-04-13T16:35:17Z,293,C1L9K35F,536,34,Female,White,United States,United States,United States,English,No,Full-Time
100,233s (~3.88 minutes),2023-04-13 09:35:35,1,615347ff7ff5494004c64604,Anything that exists from the Earth and has not been changed by man.,5,5,5,5,5,5,6,3,3,5,1,5,5,4,5,4,6,3,4,4,6,6,6,6,5,3,5,1,6,4,4,6,6,6,6,4,5,6,4,4,5,6,4,4,3,1,4,4,23,female,woman,NA,6,6,7,1,3,615347ff7ff5494004c64604,3,64382e68ee705f9eed1a5ec5,APPROVED,2023-04-13T16:31:39Z,2023-04-13T16:35:37Z,2023-04-13T16:35:38Z,2023-04-13T16:35:38Z,239,C1L9K35F,1842,23,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
100,352s (~5.87 minutes),2023-04-13 09:38:47,1,616b063b5dfa9fb616209058,"Natural life that has evolved on the planet, including all animals, plants,  planetary base and atmosphere",6,5,6,7,7,7,6,2,7,5,5,5,7,7,7,7,7,3,6,7,4,7,7,7,5,4,6,6,7,7,5,6,4,4,2,1,7,7,6,5,6,7,6,4,4,1,4,4,68,female,woman,NA,6,6,7,1,3,616b063b5dfa9fb616209058,3,64382eb189ad038bb429f348,APPROVED,2023-04-13T16:32:52Z,2023-04-13T16:38:49Z,2023-04-13T16:38:50Z,2023-04-13T16:38:50Z,357,C1L9K35F,902,68,Female,White,Germany,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
100,236s (~3.93 minutes),2023-04-13 09:44:22,1,613a1a17b00c5de2ec5fe364,"Outdoor spaces containing plants and other natural objects, relatively unchanged by humans",3,4,2,3,2,3,3,5,3,4,3,3,3,5,2,4,3,3,3,4,6,5,5,7,3,4,2,6,6,3,2,6,2,4,3,3,2,4,4,3,3,4,4,2,1,1,4,4,19,female,woman,NA,7,7,7,1,3,613a1a17b00c5de2ec5fe364,3,64383073ac4010a367979e07,APPROVED,2023-04-13T16:40:23Z,2023-04-13T16:44:23Z,2023-04-13T16:44:25Z,2023-04-13T16:44:24Z,240,C1L9K35F,414,19,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
100,393s (~6.55 minutes),2023-04-13 09:46:52,1,5e1527aba99550b4037c472f,Nature is the material world that surrounds us; the parts of the world not man-made.,5,5,5,5,5,7,7,1,6,6,4,5,7,6,6,6,6,3,6,5,4,7,6,3,6,6,6,3,6,4,6,6,5,6,5,2,5,6,4,6,6,6,5,6,6,1,3,3,47,female,woman,NA,4,4,4,1,3,5e1527aba99550b4037c472f,3,6438306b76bb0277c74f71fb,APPROVED,2023-04-13T16:40:15Z,2023-04-13T16:46:57Z,2023-04-13T16:46:58Z,2023-04-13T16:47:06Z,403,C1L9K35F,1208,47,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
100,347s (~5.78 minutes),2023-04-13 09:49:35,1,63f8f79c66dc8a297fe9e8bf,outside space,6,4,5,6,6,4,4,6,4,5,5,5,7,7,7,6,5,3,4,7,4,7,5,5,4,6,3,2,5,4,5,6,4,5,6,2,5,5,4,4,5,6,2,3,4,1,4,4,40,no_answer,NA,NA,6,4,6,1,3,63f8f79c66dc8a297fe9e8bf,3,6438313dd52c62cda6a4e90b,APPROVED,2023-04-13T16:43:45Z,2023-04-13T16:49:39Z,2023-04-13T16:49:48Z,2023-04-13T16:49:39Z,355,C1L9K35F,203,NA,DATA_EXPIRED,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
100,1153s (~19.22 minutes),2023-04-13 09:57:35,1,62eae99553a3ad8a491086ad,I would define nature as biomes/environments with a functioning ecosystem of organic and inorganic compounds.,6,1,4,7,7,7,7,7,5,7,3,4,7,6,7,6,5,3,5,4,4,7,7,4,6,1,4,7,6,4,2,6,4,2,1,3,3,6,4,7,3,6,7,2,5,1,4,3,24,female,woman,NA,6,5,7,1,3,62eae99553a3ad8a491086ad,3,64382ff7bc4f8d6c7f6331be,APPROVED,2023-04-13T16:38:18Z,2023-04-13T16:57:38Z,2023-04-13T16:57:38Z,2023-04-13T16:57:38Z,1160,C1L9K35F,447,24,Female,Other,United States,United States,United States,Spanish,No,Unemployed (and job seeking)
100,578s (~9.63 minutes),2023-04-13 09:58:06,1,63fffd232a889b722046523c,"I guess it depends. To me personally, there are two definitions. 1. the physical world around me (e.g. skies, wind, trees, water, etc), or 2. the traits of something or someone. (e.g. a scorpion stings because it is in their nature to sting).",5,1,6,4,4,5,4,4,6,1,1,6,4,3,6,4,7,3,7,3,7,7,6,6,6,6,7,7,7,5,5,6,6,4,6,5,6,7,5,4,1,7,7,3,6,1,3,3,36,male,man,NA,4,5,5,1,3,63fffd232a889b722046523c,3,6438325484cceee5b43275bc,APPROVED,2023-04-13T16:48:25Z,2023-04-13T16:58:07Z,2023-04-13T16:58:14Z,2023-04-13T16:58:08Z,583,C1L9K35F,125,37,Male,White,Mexico,United States,United States,English,No,Unemployed (and job seeking)
100,686s (~11.43 minutes),2023-04-13 09:58:29,1,6119ccaad19b17d52526b724,Nature is outdoor areas untouched by man.,7,5,4,5,4,6,4,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,4,7,4,7,7,7,6,2,5,4,1,3,7,7,6,7,5,7,5,7,1,4,4,25,female,woman,NA,7,7,7,1,3,6119ccaad19b17d52526b724,3,6438320158ff7f6b63bfdee4,APPROVED,2023-04-13T16:46:59Z,2023-04-13T16:58:31Z,2023-04-13T16:58:44Z,2023-04-13T16:58:32Z,693,C1L9K35F,1789,25,Female,White,United States,United States,United States,English,No,Full-Time
100,355s (~5.92 minutes),2023-04-13 09:58:48,1,5f1e7c6768c1bb8491f39191,out outdoor environment,7,7,6,7,7,7,7,1,5,4,5,7,7,7,7,7,7,3,7,7,7,7,7,6,7,7,6,7,7,5,6,6,4,6,6,4,6,7,6,6,6,6,6,6,7,1,4,4,21,female,woman,NA,6,6,7,1,3,5f1e7c6768c1bb8491f39191,3,6438335c7ae4cfe89d3d1c7f,APPROVED,2023-04-13T16:52:49Z,2023-04-13T16:58:50Z,2023-04-13T16:59:02Z,2023-04-13T16:58:50Z,361,C1L9K35F,1401,21,Female,White,United States,United States,United States,English,DATA_EXPIRED,Part-Time
